Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.022932,-0.005675,-0.087903,0,0,0,15.862,0.27465,-7.1995E-06,0.0050561,0.13652,-1.5511E-05,0.29154,0,0,0,0,0,0,package://iabot_0811/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://iabot_0811/meshes/base_link.STL,,DP00-腰部整体-1,Base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Leg-front-left-0003,-0.10474,-0.021486,0.031227,0,0,0,2,0.00032941,-0.00021609,0.0001005,0.0013385,2.0618E-05,0.0014664,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-left-0003.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-left-0003.STL,,DP01-前左二级活动件整体-1,Leg-front-left-003,Leg-front-left-3,Leg-front-left-0003,continuous,-0.3,-0.265,-0.4179,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
Leg-front-left-0002,0.039593,-0.00010099,-0.022141,0,0,0,2,0.00029781,1.2527E-07,8.9915E-05,0.00034692,-2.2939E-07,0.0002269,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-left-0002.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-left-0002.STL,,Z01-L型轮架-1,Leg-front-left-002,Leg-front-left-2,Leg-front-left-0002,continuous,-0.19592,-0.04019,-0.0001,0,0,0,Leg-front-left-0003,0,0,-1,,,,,,,,,,,,
Leg-front-left-0001,0,-0.000507,-0.00045094,0,0,0,5,0.0025574,-8.4207E-21,-1.2282E-20,0.0024726,-1.1806E-05,0.0037023,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-left-0001.STL,1,1,1,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-left-0001.STL,,160mm轮毂电机单边轴-1,Leg-front-left-001,Leg-front-left-1,Leg-front-left-0001,continuous,0,0,-0.102,-1.5708,0,1.5682,Leg-front-left-0002,0,0,-1,,,,,,,,,,,,
Leg-front-right-0003,-0.092087,0.054335,0.031227,0,0,0,2,0.00056856,0.00048043,8.8359E-05,0.0010993,-5.2134E-05,0.0014664,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-right-0003.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-right-0003.STL,,DP01-前左二级活动件整体-3,Leg-front-right-003,Leg-front-right-3,Leg-front-right-0003,continuous,-0.3,0.265,-0.4179,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
Leg-front-right-0002,0.039497,0.002755,-0.022141,0,0,0,2,0.00029805,-3.409E-06,8.9697E-05,0.00034668,6.2567E-06,0.0002269,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-right-0002.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-right-0002.STL,,Z01-L型轮架-5,Leg-front-right-002,Leg-front-right-2,Leg-front-right-0002,continuous,-0.17225,0.10163,-0.0001,0,0,0,Leg-front-right-0003,0,0,-1,,,,,,,,,,,,
Leg-front-right-0001,0.00021715,0.00045814,-0.00045094,0,0,0,5,0.0025419,-3.2827E-05,5.0567E-06,0.0024882,1.0668E-05,0.0037023,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-right-0001.STL,1,1,1,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-front-right-0001.STL,,160mm轮毂电机单边轴-5,Leg-front-right-001,Leg-front-right-1,Leg-front-right-0001,continuous,0,0,-0.102,1.5708,0,-1.5012,Leg-front-right-0002,0,0,-1,,,,,,,,,,,,
Leg-back-left-0002,0.03886,-0.0075811,-0.022141,0,0,0,2,0.00029961,9.2295E-06,8.8251E-05,0.00034512,-1.7217E-05,0.0002269,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-back-left-0002.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-back-left-0002.STL,,Z01-L型轮架-6,Leg-back-left-002,Leg-back-left-2,Leg-back-left-0002,continuous,0.5,-0.265,-0.418,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
Leg-back-left-0001,4.2919E-05,0.00050518,-0.00045094,0,0,0,5,0.0025568,-7.1543E-06,9.9944E-07,0.0024732,1.1764E-05,0.0037023,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-back-left-0001.STL,1,1,1,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-back-left-0001.STL,,160mm轮毂电机单边轴-6,Leg-back-left-001,Leg-back-left-1,Leg-back-left-0001,continuous,0,0,-0.102,1.5708,0,-1.7635,Leg-back-left-0002,0,0,-1,,,,,,,,,,,,
Leg-back-right-0002,0.013992,0.037038,-0.022141,0,0,0,2,0.00034079,-1.6236E-05,3.1777E-05,0.00030394,8.4113E-05,0.0002269,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-back-right-0002.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://iabot_0811/meshes/Leg-back-right-0002.STL,,Z01-L型轮架-7,Leg-back-right-002,Leg-back-right-2,Leg-back-right-0002,continuous,0.5,0.265,-0.418,0,0,0,base_link,0,0,-1,,,,,,,,,,,,
